city,group,pair_id,total_pois,n_sub_types,shannon_entropy,max_entropy,evenness,n_pois,area_km2,density_per_km2,spatial_std,avg_dist_to_center_km,dining_ratio,centroid_lng,centroid_lat
哈尔滨,treat,2,1525,49,3.0205,3.8918,0.7761,1525,63131.65,0.02,0.436251,23.31,0.1311,126.7181,45.7294
天水,treat,4,1475,47,3.1554,3.8501,0.8196,1475,19840.6,0.07,0.361212,31.97,0.1356,105.7241,34.6436
安阳,control,3,1525,47,3.1556,3.8501,0.8196,1525,13822.44,0.11,0.356292,32.05,0.1311,114.3292,35.9881
宝鸡,control,4,1500,46,3.1248,3.8286,0.8162,1500,20557.85,0.07,0.327042,29.08,0.1333,107.3414,34.3661
开封,treat,3,1475,47,3.1709,3.8501,0.8236,1475,9059.84,0.16,0.259799,23.91,0.1356,114.4263,34.727
景德镇,treat,5,1500,50,3.2307,3.912,0.8258,1500,8255.68,0.18,0.172924,14.25,0.1333,117.2187,29.2422
济宁,control,1,1525,43,3.0099,3.7612,0.8002,1525,23629.55,0.06,0.358683,32.64,0.1475,116.7002,35.4314
淄博,treat,1,1525,54,3.1464,3.989,0.7888,1525,8119.45,0.19,0.229439,20.0,0.1475,118.0371,36.7514
潮州,control,5,1550,48,3.1712,3.8712,0.8192,1550,5905.66,0.26,0.178217,15.2,0.1452,116.6919,23.651
长春,control,2,1575,45,2.9959,3.8067,0.787,1575,34128.87,0.05,0.246263,14.19,0.1429,125.347,43.8908
